word,gender_score
abandoned,-0.224018476
abbreviated,-0.209302326
abdominal,-0.411494253
abhorrent,0.568208778
abiding,0.865336658
abject,0.529411765
able,0.573671808
abled,-0.637188209
abnormal,-0.068437181
abominable,0.57700943
aboriginal,-0.571471324
abortive,-0.851334497
abrasive,-0.539823009
abridged,0.16
abrupt,-0.101075269
absent,0.5825767
absentee,0.527925532
absentminded,-0.207673061
absolut,-0.371841155
absolute,0.18838311
absolutley,-0.657004831
absoluty,-0.082426128
absorbed,0.310576385
absorbent,-0.1886121
abstract,0.66395664
abstracted,-0.342342342
absurd,0.955139265
abused,0.067484663
abusive,0.494829591
academic,-0.366211654
acceptable,0.243737958
accepted,0.498069498
accepting,-0.70014556
accessible,0.060704632
accident,-0.66702938
accidental,-0.269387369
acclaimed,0.202608696
accommodate,-0.676186873
accomodating,-0.026022305
accomplished,0.091246561
accountable,0.768175938
accountant,0.567010309
accredited,0.620341344
accurate,0.202813599
accursed,-0.016438356
accusing,0.368932039
accustomed,0.194470744
achaean,0.499075786
aching,0.138755981
acid,-0.70773639
acknowledged,0.885596708
acne,-0.715713493
acoustic,0.517850288
acquainted,0.55891852
acquired,0.356076759
acrobatic,0.739393939
acting,0.694171956
active,0.37096229
activist,-0.893406593
actual,0.152143064
acute,0.164604739
adamant,0.530721966
adaptive,0.578034682
added,0.89034565
adderall,-0.477178423
addicted,-0.394897099
addicting,0.330508475
addictive,-0.30406291
additional,0.201795075
addled,-0.53286385
addressed,-0.942203492
adept,0.653276956
adequate,0.103599954
adipose,-0.244922342
adjacent,0.116511794
adjustable,0.153130812
adjusted,-0.00990099
adjuvant,-0.965
administrative,0.509269357
admirable,0.624850657
admired,-0.034385786
admirer,0.044585987
admissible,-0.251184834
adolecent,-0.275405007
adolescent,-0.57996379
adolescente,0.424657534
adopted,0.289848415
adoptive,-0.232602767
adorable,-0.493337311
adored,0.113338473
adoring,0.137080319
adrenal,0.489597781
adrift,0.769411765
adult,-0.453813541
adulterous,0.396604414
advance,0.167039106
advanced,0.218900014
advancing,0.10982659
advantageous,-0.351955307
adventures,-0.918699187
adventuresome,0.471698113
adventurous,-0.008072576
adverse,-0.242043695
advisable,0.049730377
advise,0.704211557
advisory,0.189781022
aerial,0.098552722
aerobic,-0.899888765
aesthetic,0.747081712
affable,0.987070325
affect,-0.196078431
affected,0.329040172
affectionate,0.142438507
affective,-0.06557377
affiliated,-0.03968254
affirmative,-0.290876565
afflicted,0.129204893
affluent,0.617984627
affordable,0.062744888
affraid,0.393258427
affrighted,0.465517241
afghan,-0.597556057
afghani,-0.8234136
aforementioned,0.747416762
afraid,-0.030045953
african,-0.266003588
africanamerican,-0.627218935
afrikaner,-0.569037657
afro,-0.444742489
aged,0.136303871
ageless,-0.442140468
aggravated,-0.360730594
aggressive,0.408263836
agile,0.579876434
agitated,0.528293345
aglow,0.328767123
agnostic,-0.552971576
ago,0.135529946
agreeable,0.549995417
agressive,-0.757322176
agricultural,-0.158995816
aian,-0.837524178
aided,0.772284644
aimless,0.119496855
airy,0.531215772
akin,0.810707457
al4a,-0.802227738
alarm,0.629563669
alarmed,0.21384083
alarming,-0.256433008
alaskan,0.280841179
albanian,0.142872983
alberta,-0.395164201
albino,-0.36452514
alcoholic,-0.193623381
alert,0.634749304
algerian,0.021775217
alias,0.649635036
alien,-0.269105747
alienated,0.931367292
alive,0.549637791
alleged,0.029885057
allegorical,-0.347578348
allegory,-0.012345679
allergic,-0.186636971
allied,0.711286089
allow,0.8674189
allure,0.276923077
alluring,-0.939187185
almighty,0.573840958
alone,0.394125692
aloof,0.137755102
alot,0.081699346
aloud,-0.036363636
alpha,0.198446099
alphabetical,0.134509372
alpine,0.351648352
alright,0.312114816
alt,0.182940516
altered,0.121822384
alternative,-0.325157826
altruistic,0.324909747
amateur,-0.587461981
amateursex,-0.177238806
amature,-0.642782928
amazed,0.395572666
amazing,-0.098587354
amber,-0.860977288
ambidextrous,0.199404762
ambiguous,0.349865952
ambitious,0.235065213
ambivalent,0.700170358
ambulatory,-0.73875803
ameature,0.057546145
amenable,0.774210808
american,-0.135450353
americanized,-0.394265233
amiable,0.080607332
amicable,-0.529411765
amish,-0.269085841
amiss,0.154716981
amnesiac,-0.712290503
amoral,0.888311688
amorous,0.694117647
ample,0.409714763
amused,0.399305556
amusing,0.457227139
anaal,-0.819370658
anabolic,-0.340112994
anal,-0.591743586
analog,0.869375907
anarchist,-0.339534884
anatomical,0.552870091
ancestral,0.945031712
anchored,0.025974026
ancient,0.271203676
andalusian,0.595256917
andean,0.154945055
androgenetic,-0.634674923
androgenic,-0.445012788
androgynous,-0.424036281
anemic,0.322222222
angelic,-0.663405766
angered,0.468164794
anglican,-0.637242268
anglo,0.25383514
angry,0.404730868
angsty,-0.054989817
anguish,0.174825175
anguished,0.833009709
animal,-0.855313481
animalistic,0.28113879
animalsex,-0.878132362
animated,-0.068908992
anime,-0.704931124
anleitung,-0.934136546
annotated,-0.129554656
annoyed,0.494132986
annoying,0.103853846
annual,-0.511551155
anointed,0.448275862
anonymous,-0.024946543
anorexic,-0.862745098
answerable,0.93828892
answering,-0.184466019
antagonistic,0.175925926
anti,0.382879722
antibacterial,0.636548223
antioxidant,-0.203007519
antiquated,-0.465909091
antique,0.284514925
antisocial,0.470588235
antiviral,-0.604743083
antiwar,-0.846831956
anxious,0.504023531
aortic,0.578595318
ape,0.567334119
aphrodite,-0.552183568
apocalyptic,0.716981132
apologetic,0.213935765
appalled,-0.296068796
appalling,0.294217687
apparent,0.183709519
appealing,-0.216220708
appetite,-0.467455621
applesauce,-0.693379791
applicable,0.525397797
applicant,0.484337349
appliqued,0.142857143
appointed,0.481707317
appreciate,-0.521954945
appreciative,0.482986767
apprehensive,0.594909862
approachable,0.306559572
appropriate,0.299405043
approved,-0.121701669
approximate,-0.363636364
apt,0.568914956
arab,-0.215130953
arabian,-0.13321004
arabic,-0.425396046
arbic,-0.917374517
arbitrary,0.973470363
arch,0.938703553
archaic,-0.785252264
archetypal,0.399770247
architectural,0.598409543
archived,-0.34295082
arctic,0.512380952
ardent,-0.049429658
argentine,-0.517021954
argentinean,0
ariaal,-0.066666667
aristocratic,-0.750787075
armani,0.068479845
armed,0.617719558
armenian,-0.09281838
armored,0.748358862
armoured,0.086261981
armpit,-0.436436322
army,0.421859706
aromatic,0.722627737
arousal,-0.842662632
aroused,-0.307764706
arousing,0.334302326
arrogant,0.686685
arse,-0.662805663
arsed,0.227118644
arterial,0.582938389
artery,-0.36768617
artful,0.298621746
arthurian,0.844765343
articulate,0.467009856
artificial,-0.308975241
artisanal,0.174603175
artistic,-0.309697162
artless,-0.35021097
artsy,-0.938154139
arty,0.738317757
aryan,-0.531428571
ascent,0.430379747
ash,-0.431524548
ashamed,0.535962488
ashen,-0.52173913
ashkenazi,-0.858757062
asian,-0.572751922
asiansex,-0.600589536
asleep,0.262716125
aspiring,0.033700787
ass,-0.883418861
assed,-0.957603364
assertive,-0.923367784
assfuck,0.179245283
assfucked,-0.780542986
assfucking,-0.169199595
asshole,0.365909965
assist,-0.620295699
assistant,0.402503043
assisted,-0.323308271
assless,0.790989887
associate,0.627367952
associated,-0.286104299
assorted,-0.209908735
assured,0.009018163
assyrian,-0.148148148
asthenic,0.258297258
asthmatic,-0.083376222
astonished,0.358693635
astonishing,-0.004241436
astounded,-0.05734767
astounding,0.088265836
astral,-0.404320988
astute,0.785420663
asymmetric,0.753768844
asymmetrical,-0.25477707
asymptomatic,-0.301746498
atheist,-0.209649123
athenian,0.012345679
athletic,0.136095781
atk,-0.718592965
atlantic,0.302589852
atomic,-0.242072214
attached,0.142582012
attempted,0.771309771
attendant,0.894039735
attentive,0.598647269
attic,0.452631579
attitude,0.974462553
attracted,0.131922019
attractive,-0.521745613
attributable,0.2
attuned,0.18426501
atypical,-0.094650206
auburn,-0.498129274
audacious,0.067292645
audio,0.446952596
audioslave,-0.952653763
auditory,0.061946903
auld,0.188917888
aunt,0.922651934
aunty,0.792828685
auspicious,-0.685897436
aussie,-0.146001942
austere,0.964048456
austrailian,-0.621141975
australian,-0.379912177
austrian,0.506949992
authentic,-0.040560302
authorised,0.426804124
authoritarian,0.28125
authoritative,0.780354707
authorized,0.946206046
autiful,-0.917917918
autistic,0.555305934
auto,0.879542476
autobiographical,0.218110579
automated,0.957955781
automatic,0.743126967
automotive,0.55129959
autonomous,-0.886592475
auxiliary,-0.496558505
außerdem,-0.625263158
available,0.218035894
avenged,0.642470206
average,0.106043512
averse,0.614514953
avg,-0.77239371
avi,-0.018372703
avian,0.927007299
avid,-0.33963751
avowed,0.596244131
awake,0.29576993
aware,0.45477149
away,0.538938236
awesome,-0.005172844
awful,0.219180267
awkward,0.254678084
awry,0.509960159
awsome,0.412070459
azian,-0.168421053
aztec,0.859726027
azure,0.440860215
baaad,0.446254072
baby,-0.44340853
babylonian,0.618611946
bacchanalian,-0.018181818
back,-0.250866324
backed,0.903361345
backstage,0.515570934
backward,0.796495957
bacterial,0.714556213
bad,0.367214954
badass,0.03109328
baddest,-0.020733025
badly,-0.623188406
baffled,0.84418146
baggy,0.829770543
bahraini,-0.510104302
balanced,-0.688317078
balcony,0.816964286
bald,-0.639336523
balding,0.871127162
balinese,0.16910474
balkan,-0.419977299
balled,-0.125
ballistic,0.894495413
baltic,-0.625201939
banged,-0.928894807
bangladeshi,-0.460971872
banish'd,0.796137339
banished,0.812151899
bankable,0.259813084
bankrupt,0.219692959
baptismal,0.292929293
baptist,-0.758328926
barbarian,-0.012683917
barbaric,0.64017252
barbarous,0.749574106
barbed,0.740963855
bare,-0.298250248
bareback,0.894762
barefoot,-0.530964504
barefooted,0.416309013
barely,0.115672291
barenaked,-0.992863238
barley,0.295454545
baroque,-0.424657534
barren,-0.958429561
barry,0.853564547
basal,-0.494363929
base,0.760683761
bashful,0.330254042
basic,0.16118171
basque,0.089005236
bastard,-0.775124773
battered,-0.872896676
batty,0.618604651
bavarian,-0.196646341
beaded,-0.973112339
bearded,0.78178991
bears,-0.070028011
beast,-0.746287852
beasteality,-0.946664235
beastial,-0.252631579
beastiality,-0.71210871
beastly,-0.644619941
beasty,-0.884176363
beaten,0.493782591
beatiful,-0.909605942
beauteous,-0.840231548
beautful,-0.835560123
beautiful,-0.807939049
beautifull,-0.820176382
beautifullest,-0.226190476
beauty,-0.397804538
beautyfull,-0.763380282
beaver,-0.959232139
bedridden,-0.084513923
bedroom,-0.830368098
bedspread,-0.104913679
beefy,0.886296805
befuddled,0.857326478
beggarly,0.994051736
beginning,-0.521518987
beguiling,0.165714286
behaved,-0.618020305
behavioral,0.022325891
beholden,0.489515546
beiden,-0.035897436
beige,-0.550724638
belarusian,-0.927108273
belarussian,-0.912063134
belated,-0.409638554
beleaguered,-0.30321114
belgian,-0.039610653
belial,0.15601023
believable,0.579512894
bellied,0.429131927
belligerent,0.482233503
beloved,0.036367175
bendy,-0.031914894
benedictine,0.635868069
beneficent,0.915085818
beneficial,-0.083042193
benevolent,0.809982058
benign,0.456721915
bent,-0.20147025
bereaved,0.427866831
bereft,0.336170213
berserk,-0.703927492
beset,0.731141199
besotted,-0.39100346
bespectacled,0.617588274
best,-0.023995937
bestial,-0.898290351
bestselling,0.134770889
beta,-0.111856823
betrayed,-0.418032787
betrothed,-0.605557438
betty,-0.660220994
beutiful,-0.953382467
beverly,-0.52688172
bewildered,0.463656388
bewitched,0.319444444
beyonce,-0.928712437
bhutanese,0.609345794
bi,0.31311795
bias,0.650969529
biased,-0.10578325
biblical,0.373149967
bicurious,0.33379986
bid,-0.013481364
big,-0.397066303
bigass,-0.223880597
bigblack,-0.094202899
bigbreasted,-0.353982301
bigtits,-0.782553729
bikini,-0.945474573
bilateral,-0.529147982
bilder,-0.487104825
bilevel,-0.600425834
bilingual,-0.418120428
billionaire,0.968605725
billy,0.161952302
bimonthly,-0.182957393
binary,0.866508689
bio,0.356282272
biochemical,-0.57840617
biographical,0.629955947
biological,0.140202468
bionic,0.342608696
bipolar,0.236462797
biracial,-0.910135841
birdy,0.539823009
bisexual,0.34203498
bit,-0.545454545
bitter,-0.090670817
bittersweet,0.337931034
bittorrent,-0.855892256
bitty,-0.054367746
bizarre,-0.458557242
bizzare,-0.716547902
blac,-0.761115117
black,-0.077113913
blackalicious,0.285714286
blackened,0.23943662
blackgay,0.883554648
blackhaired,-0.969307637
blacknude,-0.504716981
blackonwhite,-0.142105263
blair,0.484672099
blak,-0.602909572
blameless,0.821753461
blandly,0.215189873
blank,0.520114356
blasen,-0.524437122
blasphemous,0.625806452
blass,-0.516924842
blast,0.704918033
blatant,-0.401918047
blatino,0.945911346
blck,0.61589404
bleached,0.147169811
bleeding,0.734475375
blend,0.322391559
blended,0.032069971
blessed,0.216932405
blest,0.943638275
blick,-0.053191489
blind,0.431925535
blinde,0.563451777
blindfolded,0.867986272
bling,0.575065847
bliss,-0.141025641
blissful,-0.936997319
blistering,-0.607843137
bloated,0.486979167
blond,-0.369531118
blonde,-0.75152874
blondes,-0.666589129
blondie,-0.838350785
blooded,-0.13992182
bloodstained,-0.767705382
bloodthirsty,0.879086431
bloody,0.315523466
blown,0.769436997
blue,0.109413078
blueeyed,0.38902148
blunt,-0.817560115
blurred,0.788
blurry,-0.535384615
bodacious,-0.850092764
bodied,0.334711877
bodily,0.082191781
body,0.073404255
bohemian,-0.588719972
boiled,0.855194124
boisterous,-0.395240859
bold,0.347084413
bolivian,-0.305936073
bolshevik,0.275590551
bombastic,0.189542484
bomemade,-0.212121212
bonafide,-0.044444444
bone,-0.919322709
boned,-0.227642276
boneless,-0.224806202
boneprone,-0.899379738
boner,-0.34529148
boney,-0.426470588
bonny,-0.079211603
bookish,0.354986877
boom,-0.194444444
boomer,-0.808583691
booty,-0.959321709
boozy,0.134615385
bored,0.08957828
boring,0.569030138
born,0.700485853
bosniac,0.718266254
bosnian,-0.073865116
bossy,-0.746440678
botanical,0.576237624
botched,-0.459770115
bothersome,0.545623836
bottom,-0.812775812
botty,-0.425554382
boty,0.178082192
