word,gender_score
amateurbondage,-0.350365
abortion,-0.800664
abuse,-0.639465
abuser,-0.409511
abusers,0.093656
academy,0.162681
access,-0.562321
accessories,-0.738253
accessory,0.32199
accident,-0.624633
accommodation,0.575309
accompany,0.079793
accomplice,0.597084
account,0.5195
accountant,0.442109
accounts,0.757455
ace,0.550499
acquaintance,-0.019665
act,-0.267112
action,-0.424822
activation,0.76
activist,-0.217377
activists,-0.983946
activities,-0.167658
activity,0.866744
actor,-0.316386
actors,-0.426448
actress,-0.928819
actresses,-0.979162
ad,0.752902
addict,-0.416735
addicts,-0.920506
addition,-0.253012
addresses,0.707442
adept,0.769963
adhd,-0.408451
adherent,0.77512
admin,0.888724
administrator,-0.056944
administrators,-0.631857
admirer,0.84817
adolescent,0.484472
ads,-0.889768
adult,-0.740015
adulteress,-0.949352
adultery,-0.497227
advantage,0.975036
adventure,0.291317
adventures,-0.265306
advertisements,0.39895
advertising,0.754292
advice,-0.056891
adviser,0.8665
advisor,0.690028
advocate,0.467942
affair,-0.468348
affairs,0.780719
affiliate,0.957306
affiliates,0.006452
afghan,0.207194
africa,-0.356972
age,-0.243434
agency,-0.12415
agent,0.524502
agents,-0.735016
ages,-0.375035
aggie,-0.215035
aggressor,0.584806
agony,0.31337
agriculture,0.913956
aid,-0.390868
aide,0.737643
aids,-0.654135
air,-0.402535
airforce,-0.501832
airlines,-0.253317
airways,0.922957
aisan,-0.97581
aktivbondage,-0.350365
alabama,0.732185
alaska,0.05668
album,-0.919213
alchemy,-0.72549
alcohol,0.495828
alcoholic,0.486299
alien,0.318602
allies,-0.755196
alpha,0.772864
altar,0.457265
alternate,0.513577
alternative,-0.669922
alumnus,0.811839
amater,-0.577236
amateur,-0.678798
amateurs,-0.874642
amatuer,-0.940959
ambassador,0.341888
amber,-0.981197
ambulance,0.690873
america,-0.06699
amethyst,-0.456349
amp,0.115611
amputee,-0.175407
anachronism,-0.890309
anal,-0.77256
analysis,-0.961468
analyst,0.257721
anatomy,-0.629699
ancestor,0.794872
anchor,0.446648
android,-0.114198
angel,-0.184828
angeles,0.321489
angels,-0.165301
anger,0.452055
animal,-0.853433
animals,-0.588523
animalsex,-0.930839
animation,-0.0784
anime,-0.780482
annuitant,-0.192547
anomaly,0.316649
anonymous,-0.59022
another,0.422096
answer,0.765833
answers,0.676022
anti,0.701083
antics,-0.158551
antithesis,0.541106
antonio,-0.052427
anxiety,-0.492537
apartment,-0.036027
apartments,0.744924
apologist,0.586314
apparel,-0.026766
appeal,0.394794
apple,-0.122371
applicant,0.155203
applicants,-0.450668
apprentice,0.434206
approach,0.422439
aqua,-0.998049
aquarius,0.777778
arab,-0.507896
arbiter,0.688889
archaeologist,0.257951
archetype,0.91125
architect,0.93877
architects,-0.231166
archive,0.451285
archives,-0.501833
area,0.163808
areas,0.858177
arizona,0.303386
arkansas,0.469625
arm,0.772553
armpits,0.88744
arms,0.103089
army,0.606476
art,-0.33744
article,0.635146
articles,0.653571
artist,-0.039855
artists,-0.984499
arts,0.418351
ashes,0.157143
asian,-0.52367
asics,-0.30617
asp,0.948919
aspect,-0.892386
ass,-0.751209
assassin,0.607
assassins,-0.717172
assault,-0.573922
assembly,0.544776
asses,-0.746425
asset,0.386187
assfucks,0.687132
asshole,0.231535
assholes,-0.946608
assist,-0.650374
assistant,0.469925
associate,0.540351
association,0.846628
astronaut,-0.402985
astronomer,-0.253394
asylum,-0.305882
atheist,0.729914
athlete,-0.343187
athletes,-0.829258
athletics,-0.349315
atlanta,0.380952
attachment,-0.647104
attack,0.185192
attempt,-0.417931
attention,-0.115256
attire,-0.505528
attitude,0.818744
attorney,0.422653
attraction,0.460843
auction,0.633554
auctions,0.669535
audio,0.266304
auditions,0.093275
augmentation,-0.015228
aunt,-0.39223
australia,-0.411552
author,0.511965
authorities,0.943598
authority,0.849092
authors,-0.989723
auto,0.743764
autopsy,-0.388545
avatar,0.921883
average,-0.003117
award,0.087785
awards,0.757025
babe,-0.984992
babes,-0.995545
babies,-0.290202
baby,-0.163049
babyface,-0.685246
babysitter,-0.753623
babysitters,-0.211538
bachelor,0.905011
back,-0.465877
backbone,-0.182367
background,-0.692605
backseat,0.333333
backup,0.02421
backwoods,0.208826
backyard,-0.670251
badass,0.789752
badger,0.506686
bag,-0.641384
bags,-0.742114
bait,0.421995
bakersfield,-0.164651
balck,-0.738554
baldwin,0.588524
ball,0.680892
ballerina,-0.317997
balloon,-0.341799
balls,-0.243319
baltimore,0.288789
bama,-0.321705
bamboo,-0.826446
band,0.648764
bandit,0.860584
bands,0.506861
bane,0.355649
bang,-0.908665
bangers,-0.985845
bangs,-0.66262
bank,0.798612
bankrupt,0.028037
bar,0.183092
barefoot,-0.049299
barn,-0.137056
barren,-0.810431
bars,-0.560538
bartender,0.46934
base,-0.329075
baseball,0.834795
basis,0.710214
basket,-0.853613
basketball,-0.087284
bastard,-0.653168
bat,0.723214
bath,0.25732
bathrobes,0.560886
bathroom,-0.971155
bathrooms,-0.181045
bathtub,0.521429
battery,-0.199074
battle,0.201386
bay,0.199614
bbs,0.311909
bbw,-0.995974
beach,-0.57843
beacon,0.683274
beanie,0.247089
bear,0.442608
bearer,0.568182
bears,0.910108
beast,0.312846
beastality,-0.94514
beastiality,-0.633432
bestiality,-0.995112
beasts,-0.845684
beat,0.753878
beater,-0.574684
beatnik,-0.169591
beauty,-0.319765
beaver,0.066318
beavers,-0.738799
bed,-0.017973
bedding,-0.146718
bedroom,-0.219105
bedrooms,-0.054453
beds,-0.603024
bedspread,0.211339
bedspreads,0.116761
bee,-0.983633
beekeeper,0.527638
beer,-0.52982
bees,-0.971842
beggar,0.299882
beginner,0.317779
beginning,0.62231
behaviour,-0.481788
being,0.892163
beings,-0.612225
belgium,-0.234545
believer,0.567017
believers,-0.40249
belt,-0.590408
belts,-0.513097
bench,0.727032
bend,0.496667
benedictine,0.638817
beneficiary,0.352472
benefit,-0.547096
benefits,-0.884123
bestiality,-0.614059
betting,0.827316
bi,0.770176
bible,0.885645
bigot,0.749893
bike,-0.260294
biker,-0.931198
bikes,-0.842357
bildungsbondage,-0.350365
billions,-0.854093
binary,-0.087193
bingo,0.304348
bio,0.232133
biography,0.492102
bird,-0.648168
birds,-0.955164
birmingham,0.285996
birth,-0.197608
birthday,0.081407
birthplace,-0.008964
bishop,0.199187
bishops,-0.639231
bit,0.300638
bitch,-0.832424
bitches,-0.926357
bite,-0.85546
bites,0.978624
biz,-0.149038
black,-0.16842
blackjack,-0.932496
blacks,-0.275315
blankets,-0.112782
blast,0.163014
blazer,0.379624
blessing,-0.030494
blessings,-0.274074
block,0.204848
blog,-0.457844
blogger,-0.127958
bloggers,-0.980135
blogs,-0.596716
blondes,-0.99403
blood,0.633837
bloodhound,-0.884514
blowjob,-0.922172
blowjobs,-0.896459
blue,0.666667
board,-0.480878
boards,-0.949869
boat,0.4457
bodies,0.012674
bods,-0.440118
body,-0.549278
bodybuilder,-0.272056
bodybuilders,-0.800851
bodybuilding,-0.552121
bollywood,-0.584557
bomb,0.070423
bombay,-0.679901
bomber,-0.111111
bombers,0.384615
bond,-0.661843
bondage,-0.227774
bonding,0.662067
bonds,0.891374
bone,0.928881
bones,-0.758421
bonus,0.780811
boobs,-0.896143
book,0.480919
bookkeeper,-0.270622
books,0.369463
boom,-0.262766
boomer,-0.673217
boot,0.29384
boots,-0.107227
booty,-0.871665
border,0.381107
boss,-0.078859
boston,-0.525639
bot,-0.928479
both,0.856187
bottle,-0.857811
bottom,-0.543981
bottoms,-0.633814
boutique,-0.511845
bowls,-0.567729
box,0.644869
boxer,0.593238
boxers,-0.577735
boxes,0.115385
boxing,-0.676621
boy,0.62921
boyfriend,0.277223
boys,0.46582
bra,-0.900412
bracelet,-0.654204
bracket,0.011834
brain,0.568528
brains,0.404887
branch,-0.242885
brand,-0.819767
brands,-0.689808
bras,-0.250116
brat,-0.298945
brazil,-0.786062
bread,-0.072052
break,0.353492
breakfast,0.752599
breast,-0.959079
breasts,-0.972482
breath,0.087067
breeder,0.148559
breeding,-0.297665
breeds,-0.242645
brick,-0.545117
bride,-0.814221
bridegroom,-0.82159
briefs,0.675464
brightness,-0.554455
bringer,0.196481
brisbane,0.915306
brit,0.084007
bro,0.8543
broker,0.740107
bronze,-0.552561
brooklyn,-0.706205
brothel,0.44323
brother,-0.204429
brothers,0.651852
brown,0.683392
brunet,-0.83161
brunette,-0.951328
bubble,-0.451451
buddies,0.871336
buddy,0.654874
buffer,0.850729
bug,-0.920911
bugs,-0.963937
builds,-0.452055
bukkake,-0.917891
bull,0.601423
bulldog,0.87546
bunch,0.942049
bundle,-0.238095
burden,0.344162
burn,-0.680451
burning,-0.663082
bury,-0.135632
bush,-0.315918
business,-0.304922
businesses,0.804221
bust,0.13676
butt,-0.44117
butterfly,-0.373837
butthole,-0.290023
button,0.159809
butts,-0.771544
buttts,-0.450098
buyer,-0.264822
buzz,-0.855528
byu,0.83986
cabana,0.877181
cache,-0.835233
cadet,0.464542
cajun,-0.3125
cake,-0.113499
cakes,0.984869
calendar,-0.877202
california,0.435697
call,-0.947226
caller,0.952996
cam,-0.783566
camel,-0.628904
cameltoe,-0.865181
camera,0.641732
cameras,-0.957862
camp,0.020012
campaign,0.736021
camper,0.346341
campus,0.625231
canada,-0.767771
cancer,-0.49361
candidate,0.249947
candidates,-0.986228
candy,0.235476
cannibal,0.536313
canny,0.697297
canopy,-0.268757
capri,-0.874164
caps,-0.523046
capsules,0.360731
captain,0.748354
captive,0.458932
captors,-0.340659
car,-0.330682
card,-0.064425
cardholder,-0.445545
cards,0.79197
care,-0.619702
career,-0.206377
caretaker,0.564155
careth,-0.513216
caribbean,0.213489
caricature,0.707547
carmelite,-0.387077
carolina,0.128663
carpets,-0.208333
carrier,-0.45304
cars,-0.9093
cartoon,-0.397506
cartoons,-0.351535
case,-0.117836
cases,0.263479
cash,-0.935768
cashier,-0.468421
casino,-0.002663
casinos,-0.743571
cast,0.527081
casting,0.809387
cat,-0.425948
catalyst,0.424419
catastrophe,-0.012048
catch,0.337963
category,0.024859
caterpillar,0.944934
catholic,0.152305
cats,-0.402349
cause,0.46838
cave,0.473517
cd,-0.12491
cds,0.572505
celeb,-0.294611
celeberties,0.232787
celebrities,-0.727598
celebrity,-0.699662
celebs,-0.717353
cell,0.617776
cellist,0.093596
cells,0.347137
center,0.145189
centre,0.629078
century,0.398407
ceo,0.818003
cf,0.109756
cgi,-0.53071
chair,0.490393
chairman,0.848945
chairperson,0.509399
chalk,0.241199
challenge,-0.988253
chamber,0.78444
chambers,0.010638
champion,0.69741
championship,-0.035623
chancellor,0.55341
change,0.321423
changes,0.627015
chaos,0.354146
chapter,-0.936523
chapters,-0.083021
