word,gender_score
abandon,0.492835158
abate,0.794238683
abdicate,0.769561069
abduct,0.369072945
abet,0.142857143
abhor,0.591052903
abide,0.715179906
abjure,0.545150502
abolish,0.959553696
abort,-0.812975486
abound,0.710587147
abscond,0.848205128
absent,0.598879552
absorb,0.480248007
abstain,0.647941446
abstract,0.412587413
abuse,0.408213084
accost,0.635425156
accede,0.619571401
accelerate,0.651780667
accentuate,0.665
accept,0.460213974
access,0.531618549
acclaim,0.682432432
accommodate,-0.352261892
accompany,0.224604966
accomplish,0.579077102
accord,0.604715774
account,-0.074599841
accrue,0.367791077
accumulate,0.435283335
accuse,0.513635402
accustom,0.949049737
ache,0.229655838
acheived,0.453389831
achieve,0.365383339
acknowledge,0.625773941
acquaint,0.611354909
acquire,0.590158764
acquit,0.942995755
act,0.37808759
actin,0.117449664
activate,0.451917033
adapt,0.569218241
add,0.556737319
adde,0.411428571
addict,-0.080238423
address,0.666956367
adhere,0.664759036
adjust,0.239388931
adjourn,0.715914489
administer,0.412005389
admire,0.489868482
admit,0.481402532
admonish,0.80715172
adopt,0.17564577
adore,0.000765172
adorn,-0.390972433
advance,0.463511895
advertise,0.593929539
advise,0.496871613
advocate,0.731079582
affect,-0.20463035
affiliate,0.741480611
affirm,0.65295519
affix,0.514640431
afflict,0.086839749
afford,0.359885282
aforesaid,0.881956155
age,-0.473165635
aggrieve,0.563267813
agonize,0.569052784
agree,0.424576386
aid,0.567008168
ail,0.778955337
aim,0.513056944
ain,0.933753943
air,0.590565467
alert,0.392110934
alienate,0.968429574
alight,0.483929244
align,0.597636915
allege,0.420678133
alleviate,0.704974271
allocate,0.275446325
allow,0.457154376
allude,0.718280612
allure,0.279648609
ally,0.80428992
alter,0.590477053
alternate,0.786624204
amass,0.754849299
amaze,0.28167776
amend,0.437362637
amount,0.137521222
amuse,-0.486836417
analyse,0.70642893
analyze,0.511864817
anchor,0.326484871
anger,0.774690325
angle,0.71898017
animate,0.81369248
annex,0.941808415
announce,0.600153198
annoy,0.255949748
anoint,0.558205505
answer,0.260286649
anticipate,0.531286782
ape,-0.163636364
apologise,0.48919807
apologize,0.531094064
appal,-0.842667361
appeal,0.439340071
appear,0.370409546
appear'd,0.72082879
applaud,0.501099401
apply,0.274057365
appoint,0.837401411
appreciate,0.305696865
